"Страна","Общий индекс конкурентоспособности в сфере туризма","Индекс бизнес-среды","Индекс безопасности","Индекс здоровья и гигиены","Индекс ценовой конкурентноспособности","Качество автомобильных дорог","Добыча нефти в 2016 году тыс. баррелей","Добыча природного газа за 2016 год, млн. м3","ВВП на душу населения, долл. США","Средняя заработная плата, долл. США"
"Фиджи","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,9052,"нет данных"
"Филиппины","3.60","4.32","3.56","4.79","5.51","3.1",3308,3951,7282,"314.20"
"Финляндия","4.40","5.65","6.65","6.29","4.26","5.7",0,0,41109,"2707.08"
"Франция","5.32","4.74","5.43","6.52","4.12","6.0",5974,38,41476,"2314.34"
"Хорватия","4.42","4.01","6.09","6.38","4.45","5.5",5029,1699,21625,"818.11"
"ЦАР","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,628,"нет данных"
"Чад","2.52","2.93","3.74","2.89","4.88","2.6",,,2640,"нет данных"
"Черногория","3.68","4.36","5.37","5.80","4.82","3.2",,,16016,"нет данных"
"Чехия","4.22","4.46","5.92","6.69","4.90","4.1",858,218,32076,"1068.02"
"Чили","4.06","4.98","5.72","5.19","5.28","5.0",1524,889,23507,"798.61"
"Швейцария","4.94","6.00","6.41","6.53","2.81","6.0",0,28,58647,"5053.81"
"Швеция","4.55","5.46","6.22","6.11","4.05","5.3",0,0,48199,"2556.60"
"Шри-Ланка","3.81","4.69","5.53","5.28","5.55","4.7",,,10590,"265.88"
"Эквадор","3.91","3.90","5.20","5.06","5.10","5.1",201052,530,11317,"460.39"
"Экваториальная Гвинея","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,0,43522,"нет данных"
"Эритрея","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1300,"нет данных"
"Эсватини","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,9712,"нет данных"
"Эстония","4.23","5.23","6.26","6.27","5.07","4.7",0,0,28650,"1117.67"
"Эфиопия","3.10","3.96","4.90","4.47","4.92","3.7",,,1804,"нет данных"
"ЮАР","4.01","5.28","3.93","3.77","5.25","5.0",0,601,13209,"1372.98"
"Южная Корея","4.57","4.75","5.82","6.35","4.66","5.6",111,111,36612,"2376.93"
"Южный Судан","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1995,"нет данных"
"Ямайка","3.71","4.77","3.98","4.68","3.97","3.8",0,,8771,"нет данных"
"Япония","5.26","5.31","6.07","6.43","4.61","6.1",1393,4175,38148,"2512.01"
